,video,video_condition,im_condition,pred_val,word_start,word_end,resp_exp_fear,rt_exp_fear,resp_current_anxiety,rt_current_anxiety,video_start,video_end,resp_fear,resp_anxiety,resp_arousal,resp_valence,rt_fear,rt_anxiety,rt_arousal,rt_valence,participant_num,video_hp,video_scr,base_ECG,base_scr,trial_num,Unnamed: 26
1534,heights_low_5.m4v,1.0,1.0,1.0,1235.9,1238.901,0.6579999999999999,2.787,0.22399999999999998,2.153,1252.585,1272.577,0.28800000000000003,0.273,0.42700000000000005,0.48100000000000004,2.269,1.318,3.988,3.537,157.0,,0.053,1.083,0.031,21.0,
1535,heights_high_5.mov,1.0,2.0,1.0,1293.18,1296.181,0.625,3.988,0.235,1.635,1310.549,1330.555,0.48700000000000004,0.578,0.631,0.344,3.037,4.088,1.8519999999999999,3.321,157.0,1.094,0.053,1.083,0.031,22.0,
1536,spider_low_2.mov,3.0,1.0,2.0,1352.346,1355.346,0.547,7.042000000000001,0.318,1.452,1367.579,1388.119,0.262,0.259,0.6659999999999999,0.614,2.219,1.619,3.054,1.435,157.0,1.12,0.051,1.083,0.031,23.0,
1537,heights_high_3.m4v,1.0,2.0,2.0,1405.9379999999999,1408.9389999999999,0.622,6.29,0.23800000000000002,2.136,1426.094,1446.704,0.718,0.9259999999999999,0.8220000000000001,0.237,4.989,1.268,1.7690000000000001,1.402,157.0,1.157,0.153,1.083,0.031,24.0,
1538,heights_low_3.mov,1.0,1.0,2.0,1537.5510000000002,1540.5510000000002,0.515,3.4210000000000003,0.098,1.168,1553.885,1572.39,0.16399999999999998,0.146,0.177,0.503,2.72,1.3519999999999999,2.6860000000000004,1.736,157.0,,0.0,1.083,0.031,25.0,
1539,heights_high_1.m4v,1.0,2.0,1.0,1590.376,1593.376,0.59,3.6210000000000004,0.28600000000000003,3.187,1608.93,1629.339,0.604,0.8220000000000001,0.7929999999999999,0.341,3.037,0.951,1.2009999999999998,2.553,157.0,1.18,0.052000000000000005,1.083,0.031,26.0,
1540,heights_high_4.m4v,1.0,2.0,1.0,1646.5710000000001,1649.5710000000001,0.6859999999999999,2.653,0.23399999999999999,1.585,1662.555,1682.8310000000001,0.574,0.8059999999999999,0.76,0.233,4.489,1.218,1.435,1.936,157.0,1.1909999999999998,0.0,1.083,0.031,27.0,
1541,social_low_6.m4v,2.0,1.0,2.0,1701.399,1704.399,0.271,3.9210000000000003,0.187,4.055,1717.116,1736.524,0.20800000000000002,0.276,0.5,0.486,1.5519999999999998,3.7880000000000003,1.685,2.436,157.0,1.196,0.0,1.083,0.031,28.0,
1542,social_high_2.mov,2.0,2.0,1.0,1755.475,1758.475,0.486,5.773,0.237,1.1179999999999999,1769.1070000000002,1790.0810000000001,0.602,0.638,0.7659999999999999,0.135,4.005,1.969,2.536,5.773,157.0,1.1440000000000001,0.0,1.083,0.031,29.0,
1543,social_low_3.m4v,2.0,1.0,1.0,1813.856,1816.856,0.466,3.12,0.326,2.269,1825.986,1846.145,0.11599999999999999,0.11699999999999999,0.29100000000000004,0.6809999999999999,2.62,0.7509999999999999,2.5860000000000003,5.273,157.0,1.153,0.052000000000000005,1.083,0.031,30.0,
1544,spider_high_2.m4v,3.0,2.0,2.0,1866.865,1869.865,0.624,2.536,0.31,2.47,1879.612,1899.671,0.611,0.708,0.615,0.244,2.62,1.7690000000000001,1.168,1.986,157.0,1.169,0.0,1.083,0.031,31.0,
1545,social_high_5.m4v,2.0,2.0,2.0,1916.703,1919.704,0.406,2.57,0.22399999999999998,0.985,1929.0,1949.0079999999998,0.275,0.408,0.319,0.413,2.253,1.7690000000000001,1.435,2.553,157.0,1.1340000000000001,0.053,1.083,0.031,32.0,
1546,spider_low_3.m4v,3.0,1.0,2.0,1966.5079999999998,1969.509,0.6609999999999999,2.72,0.293,5.656000000000001,1981.625,2002.3010000000002,0.382,0.5,0.738,0.19399999999999998,3.12,0.618,3.237,1.285,157.0,,0.051,1.083,0.031,33.0,
1547,spider_high_6.mov,3.0,2.0,1.0,2020.0510000000002,2023.0510000000002,0.748,1.719,0.27899999999999997,5.022,2035.535,2055.157,0.32299999999999995,0.44,0.381,0.325,2.687,2.737,3.2039999999999997,1.669,157.0,1.1179999999999999,0.0,1.083,0.031,34.0,
1548,spider_low_4.m4v,3.0,1.0,1.0,2074.945,2077.945,0.595,1.819,0.267,1.051,2084.5389999999998,2105.048,0.32899999999999996,0.311,0.24100000000000002,0.321,1.619,2.436,2.286,1.368,157.0,1.082,0.0,1.083,0.031,35.0,
1549,heights_low_4.m4v,1.0,1.0,2.0,2122.2470000000003,2125.248,0.546,5.239,0.27699999999999997,1.736,2140.968,2161.994,0.307,0.361,0.469,0.5,4.055,1.869,2.186,1.368,157.0,1.088,0.0,1.083,0.031,36.0,
1550,spider_high_2.m4v,3.0,2.0,2.0,10.061,13.085999999999999,0.442,3.404,0.43700000000000006,2.286,23.56,43.601000000000006,0.675,0.596,0.43200000000000005,0.287,3.17,3.571,4.239,4.606,158.0,0.983,0.0,0.862,0.034,1.0,
1551,social_low_6.m4v,2.0,1.0,2.0,68.709,71.71,0.636,3.0869999999999997,0.455,4.7219999999999995,83.27600000000001,102.7,0.424,0.423,0.573,0.4,3.02,2.4530000000000003,4.455,2.7030000000000003,158.0,0.955,0.0,0.862,0.034,2.0,
1552,social_low_5.m4v,2.0,1.0,1.0,124.838,127.839,0.556,5.656000000000001,0.528,3.6210000000000004,142.875,162.86700000000002,0.389,0.32299999999999995,0.34700000000000003,0.746,4.038,2.803,2.803,2.4530000000000003,158.0,0.9490000000000001,0.053,0.862,0.034,3.0,
1553,heights_low_1.m4v,1.0,1.0,2.0,184.454,187.454,0.423,4.455,0.418,2.4530000000000003,203.108,224.118,0.19699999999999998,0.138,0.588,0.9359999999999999,2.286,1.8519999999999999,3.304,1.368,158.0,0.9540000000000001,0.0,0.862,0.034,4.0,
1554,heights_high_4.m4v,1.0,2.0,1.0,242.435,245.437,0.266,5.006,0.249,1.669,260.856,281.14799999999997,0.597,0.561,0.311,0.636,4.288,1.869,3.037,2.036,158.0,0.948,0.10400000000000001,0.862,0.034,5.0,
1555,social_high_2.mov,2.0,2.0,2.0,301.884,304.884,0.21899999999999997,2.653,0.23399999999999999,1.535,313.813,334.789,0.299,0.301,0.29100000000000004,0.272,2.5860000000000003,1.886,3.22,2.636,158.0,0.963,0.0,0.862,0.034,6.0,
1556,social_high_4_replacement.mov,2.0,2.0,1.0,354.60900000000004,357.60900000000004,0.111,2.32,0.08800000000000001,2.303,365.971,386.278,0.5870000000000001,0.738,0.256,0.39399999999999996,2.42,1.485,1.5519999999999998,2.853,158.0,0.9129999999999999,0.0,0.862,0.034,7.0,
1557,heights_low_5.m4v,1.0,1.0,2.0,404.08,407.08,0.377,3.17,0.306,3.304,422.3,442.275,0.251,0.23,0.741,0.795,2.219,1.452,2.2030000000000003,1.4180000000000001,158.0,0.929,0.0,0.862,0.034,8.0,
1558,heights_high_1.m4v,1.0,2.0,1.0,459.05699999999996,462.05800000000005,0.28300000000000003,3.003,0.271,2.419,476.226,496.63599999999997,0.588,0.7120000000000001,0.28600000000000003,0.32799999999999996,2.97,1.936,2.4530000000000003,1.735,158.0,0.956,0.0,0.862,0.034,9.0,
1559,spider_low_5.mov,3.0,1.0,2.0,515.219,518.222,0.449,2.136,0.382,3.237,527.3330000000001,547.673,0.185,0.212,0.228,0.474,2.687,1.869,1.702,1.969,158.0,0.925,0.0,0.862,0.034,10.0,
