,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
84,6,3,2,0,13,32,4,5,17,15,29,16,26,28,1,18,27,31,19,21,30,14,37,25,38,35,10,12,36,33,34,11,22,23,20,7,24,8,9
85,29,27,28,3,26,30,31,6,2,37,1,35,5,4,38,0,13,15,17,32,18,16,33,19,34,36,21,10,12,25,11,14,22,24,9,23,20,8,7
86,3,6,1,2,5,27,26,4,28,29,30,31,17,15,0,13,32,16,35,37,18,19,38,21,10,25,33,34,36,12,14,11,23,9,22,24,8,20,7
87,3,27,26,6,29,1,28,2,30,5,4,31,37,35,17,38,15,16,19,18,0,13,32,21,33,10,34,36,12,25,14,11,9,23,24,22,20,8,7
88,29,27,28,26,3,30,2,31,6,37,1,35,5,4,38,15,16,0,13,18,17,19,33,34,32,36,21,10,25,12,14,11,20,22,23,7,24,9,8
89,3,27,26,29,28,1,6,30,2,31,5,4,37,35,17,15,38,16,19,18,0,13,32,33,21,34,36,10,12,25,11,14,23,9,24,20,22,8,7
90,32,6,0,13,3,2,29,5,4,17,28,26,31,27,15,1,30,16,18,19,21,37,35,14,38,25,10,33,36,34,12,22,11,23,24,8,9,20,7
91,6,3,2,1,4,5,26,28,27,29,15,16,17,19,30,31,18,13,0,21,37,38,32,35,10,25,14,34,12,36,33,11,23,20,22,7,24,8,9
92,3,6,1,2,5,26,27,4,29,28,30,31,17,15,0,13,32,16,18,37,19,35,38,21,10,25,33,34,36,14,12,11,23,22,9,24,8,20,7
93,14,20,37,15,2,34,7,38,21,29,36,16,19,28,18,33,35,11,25,13,0,26,22,30,31,23,27,4,12,10,6,5,8,17,24,3,1,32,9
94,6,3,2,4,5,1,17,16,15,26,0,13,19,18,32,28,21,27,29,31,30,14,25,10,38,37,35,12,34,11,23,36,33,22,20,7,24,8,9
95,32,0,13,14,17,6,15,18,16,2,3,21,4,5,29,31,19,25,28,26,22,1,27,30,23,37,38,8,35,11,24,7,10,20,12,9,36,33,34
96,29,27,28,30,37,35,26,31,38,2,3,34,33,36,1,5,4,6,15,16,19,18,13,0,17,10,12,21,11,32,25,14,20,7,22,24,23,9,8
97,6,2,3,0,13,32,4,17,5,16,15,1,18,21,26,19,28,29,14,31,27,30,25,37,38,10,35,12,23,22,11,34,36,33,20,7,8,24,9
98,6,3,2,0,13,4,5,29,32,28,26,27,17,1,31,15,30,16,18,19,37,35,38,21,14,25,10,33,36,34,12,11,22,23,24,20,8,7,9
