,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
77,3,2,15,19,36,8,5,22,29,14,27,20,1,28,10,23,30,7,35,4,6,26,9,37,33,17,16,34,11,18,25,21,12,31,38,24,0,13,32
78,32,13,0,15,17,30,25,31,6,21,33,18,38,3,14,23,24,10,1,35,26,19,28,2,29,22,16,9,5,34,37,27,12,4,36,11,8,7,20
79,15,0,3,2,19,14,22,5,8,29,36,30,17,13,1,10,27,6,23,28,35,33,20,26,25,4,18,21,9,7,37,32,31,16,34,11,38,12,24
80,32,13,0,17,15,25,30,31,38,21,24,33,18,6,23,14,10,26,1,35,16,28,34,3,9,12,37,29,19,11,22,2,4,5,27,7,36,8,20
81,3,15,2,19,8,36,22,5,14,29,27,20,1,30,28,10,23,35,6,17,0,26,7,33,4,37,9,25,18,16,34,21,31,11,12,38,24,13,32
82,32,13,0,15,17,30,25,6,31,21,3,33,14,18,38,23,10,1,24,19,2,35,26,28,29,22,5,16,9,34,37,27,36,12,4,8,11,7,20
83,3,15,2,19,8,36,22,5,29,14,27,20,1,28,10,30,23,35,6,7,17,26,4,33,9,37,16,34,0,18,25,21,11,31,12,38,24,13,32
84,32,0,13,15,17,3,30,14,25,6,2,19,33,23,10,21,1,18,31,29,22,5,35,28,26,38,36,8,9,27,16,24,37,34,4,7,20,11,12
85,0,32,13,15,3,17,30,14,2,19,6,25,23,33,10,22,29,1,5,21,28,35,31,18,8,36,26,27,38,9,16,37,4,34,20,24,7,11,12
86,32,0,13,15,17,3,30,25,14,6,33,2,19,23,21,31,10,1,18,29,22,35,28,26,38,5,36,24,8,27,9,16,37,34,4,7,20,11,12
87,0,32,13,15,17,3,30,14,2,25,19,6,33,23,10,1,22,29,21,31,5,18,28,35,26,36,8,38,27,9,16,37,24,34,4,20,7,11,12
88,0,13,15,32,3,2,17,19,14,30,22,29,5,6,1,36,23,8,10,33,28,25,35,27,26,18,21,31,20,9,37,4,16,7,34,38,11,24,12
89,32,0,13,15,17,30,3,25,14,6,33,19,2,21,31,23,10,18,1,29,38,35,22,28,26,5,24,8,27,36,9,16,37,34,4,7,12,20,11
90,32,13,0,15,17,30,25,6,31,21,33,3,14,38,18,23,10,24,1,35,19,26,2,28,29,22,5,16,9,34,37,27,12,4,8,36,11,7,20
91,15,0,3,2,19,14,5,22,29,8,36,30,17,13,1,23,6,10,27,28,33,35,26,20,25,32,18,9,21,4,7,37,31,16,34,11,38,12,24
92,3,15,2,19,8,36,5,22,29,14,27,20,1,28,10,23,30,35,7,6,26,4,33,9,37,17,16,34,18,11,25,21,31,12,38,0,24,13,32
